"receipt_schema_version","receipt_generator","search_query_sha256","search_intent","search_scope","schema_sha256","search_limit","completed_only","explain_scores","result_rank","case_id_sha256","score"
"2","figureforge-search_cases","c32be37566702cc72ed3fceafe05a7ba8d420938bcd5f8561b9cee16706f226c","ordination","private","d440daded18634c1da2f05e6b1a30385f2aca6cd38455b31d263e1657260112a",5,FALSE,FALSE,1,"79b9911f28624d828c9beddf7eed1bc22994e50abd6ce2f35815fdbcea2f2f49",4
"2","figureforge-search_cases","c32be37566702cc72ed3fceafe05a7ba8d420938bcd5f8561b9cee16706f226c","ordination","private","d440daded18634c1da2f05e6b1a30385f2aca6cd38455b31d263e1657260112a",5,FALSE,FALSE,2,"4c70dca8d76dade4dfb320de0015d945e119c128e28d335beef6cc61f8e59776",4
"2","figureforge-search_cases","c32be37566702cc72ed3fceafe05a7ba8d420938bcd5f8561b9cee16706f226c","ordination","private","d440daded18634c1da2f05e6b1a30385f2aca6cd38455b31d263e1657260112a",5,FALSE,FALSE,3,"da1d5b5f26621c7da590980972792cfa60435175babdf8bf4509f4120e5dd0fa",3
