"time","depth","mag","place"
"2024-01-20T01:36:11.203Z",10,5,"287 km SSE of Port Blair, India"
"2024-01-20T04:54:04.253Z",35,5,"South Sandwich Islands region"
"2024-01-20T05:20:14.543Z",10,5.3,"southeast of the Loyalty Islands"
"2024-01-20T15:48:40.121Z",184,6.1,"Pagan region, Northern Mariana Islands"
"2024-01-20T21:31:05.092Z",607,6.6,"123 km NW of Tarauacá, Brazil"
"2024-01-20T22:09:39.708Z",10,6.2,"Southwest Indian Ridge"
"2024-01-21T02:36:01.362Z",202.477,5.3,"100 km W of El Aguilar, Argentina"
"2024-01-21T17:19:48.289Z",154.112,5,"6 km WNW of Cepitá, Colombia"
"2024-01-22T14:20:31.728Z",211.776,5.3,"198 km WSW of Houma, Tonga"
"2024-01-22T17:27:25.350Z",10,5.4,"Carlsberg Ridge"
"2024-01-22T18:09:04.340Z",13,7,"128 km WNW of Aykol, China"
"2024-01-22T18:14:16.160Z",10,5.8,"129 km SSE of Kyzyl-Suu, Kyrgyzstan"
"2024-01-22T18:17:07.591Z",10,5.3,"131 km SSE of Kyzyl-Suu, Kyrgyzstan"
"2024-01-22T18:32:41.383Z",10,5,"137 km W of Aykol, China"
"2024-01-22T18:42:33.209Z",10,5.4,"124 km WNW of Aykol, China"
"2024-01-22T19:36:47.834Z",10,5.5,"128 km WNW of Aykol, China"
"2024-01-22T21:43:05.717Z",10,5.2,"122 km WNW of Aykol, China"
"2024-01-22T22:30:11.367Z",10,5.4,"84 km WSW of Coquimbo, Chile"
"2024-01-22T23:19:25.792Z",7.148,5.1,"121 km WNW of Aykol, China"
"2024-01-23T01:18:40.538Z",3.426,5.3,"119 km WNW of Aykol, China"
"2024-01-23T04:02:41.437Z",10,5.4,"southeast of Easter Island"
"2024-01-23T14:33:45.022Z",31,6.3,"39 km SW of Port-Vila, Vanuatu"
"2024-01-23T15:22:26.387Z",144.706,5,"Volcano Islands, Japan region"
"2024-01-23T15:26:29.426Z",10.435,5.1,"25 km SSW of Port-Vila, Vanuatu"
"2024-01-23T20:38:13.026Z",10,5.2,"131 km W of Aykol, China"
"2024-01-23T21:33:49.499Z",33.702,5.1,"66 km SSE of Akkeshi, Japan"
"2024-01-24T01:29:46.480Z",136.091,5.3,"299 km WSW of Tual, Indonesia"
"2024-01-24T01:48:31.029Z",10,5,"31 km ENE of Loreto, Mexico"
"2024-01-24T06:27:18.261Z",10,5,"170 km S of ‘Ohonua, Tonga"
"2024-01-24T08:05:10.409Z",113.11,5.3,"41 km NE of Calama, Chile"
"2024-01-24T10:28:58.754Z",45.386,5.1,"south of the Kermadec Islands"
"2024-01-24T13:49:23.071Z",22.147,5,"201 km S of Banjar, Indonesia"
"2024-01-24T14:18:37.018Z",10,5.1,"25 km ESE of Dannevirke, New Zealand"
"2024-01-24T14:39:19.224Z",67.683,5,"155 km S of Vanimo, Papua New Guinea"
"2024-01-24T22:21:48.970Z",7.536,5.1,"127 km W of Aykol, China"
"2024-01-25T12:24:12.531Z",21.643,5.6,"89 km NW of Ende, Indonesia"
"2024-01-25T13:04:06.941Z",16.204,5,"19 km WNW of Sincik, Turkey"
"2024-01-25T17:00:43.411Z",10,5.4,"27 km SSE of Obock, Djibouti"
"2024-01-25T18:25:12.409Z",21.238,5,"98 km ESE of Kimbe, Papua New Guinea"
"2024-01-25T18:58:12.789Z",121.034,5,"67 km SSW of Ollagüe, Chile"
"2024-01-25T20:01:27.370Z",10,5.3,"112 km WNW of Aykol, China"
"2024-01-25T23:01:02.114Z",10,5.5,"north of Ascension Island"
"2024-01-26T01:57:20.474Z",94.358,5.1,"91 km NNE of Lae, Papua New Guinea"
"2024-01-26T12:46:16.087Z",45.09,5.4,"Izu Islands, Japan region"
"2024-01-27T01:36:45.009Z",43.944,5.1,"292 km NE of Fais, Micronesia"
"2024-01-27T02:15:26.991Z",227.678,5.4,"138 km E of Madang, Papua New Guinea"
"2024-01-27T05:19:19.465Z",11.291,5.1,"4 km S of Özdere, Turkey"
